start something,[-1.26653782]
two horrible,[ 0.12605936]
yeah i,[ 0.12608006]
exsiting in,[ 0.12608297]
rather exsiting,[ 0.12608297]
far away,[ 0.12611786]
extreme,[ 0.12618606]
bad end,[ 0.1262005]
can t,[ 0.12627798]
near the,[ 0.12633104]
porno,[ 0.12633104]
porno valley,[ 0.12633104]
start near,[ 0.12633104]
the porno,[ 0.12633104]
valley end,[ 0.12633104]
ll take,[ 0.12639184]
a feature,[ 0.12650653]
an interview,[ 0.12650653]
feature,[ 0.12650653]
feature and,[ 0.12650653]
m putting,[ 0.12650653]
putting together,[ 0.12650653]
together a,[ 0.12650653]
with hug,[ 0.12650653]
your mother,[ 0.12654556]
one person,[ 0.12660738]
please name,[ 0.12660738]
this election,[ 0.12660738]
can but,[ 0.12667662]
operating,[ 0.12667726]
much as,[ 0.12675149]
even when,[ 0.12676367]
ones don,[ 0.12676367]
positive ones,[ 0.12676367]
start positive,[ 0.12676367]
you even,[ 0.12676367]
seem,[ 0.12682118]
drama school,[ 0.1268287]
few year,[ 0.1268287]
gave a,[ 0.1268287]
little talk,[ 0.1268287]
nyu drama,[ 0.1268287]
school a,[ 0.1268287]
talk at,[ 0.1268287]
the nyu,[ 0.1268287]
intelligence,[ 0.1269741]
say so,[ 0.1270008]
all in,[ 0.12702055]
mind what,[ 0.12702055]
story with,[ 0.12702055]
contemporary,[ 0.12704636]
contemporary i,[ 0.12704636]
my stuff,[ 0.12704636]
studying the,[ 0.12704636]
stuff is,[ 0.12704636]
the develop,[ 0.12704636]
very contemporary,[ 0.12704636]
rainforest,[ 0.12715073]
rainforest end,[ 0.12715073]
the rainforest,[ 0.12715073]
i l,[ 0.12724198]
bye now,[ 0.12725632]
of whi,[ 0.12730337]
question most,[ 0.12730337]
organic food,[ 0.12730447]
feel like,[ 0.12735716]
belief,[ 0.12736851]
belief doesn,[ 0.12736851]
proof,[ 0.12736851]
proof end,[ 0.12736851]
require,[ 0.12736851]
require proof,[ 0.12736851]
start belief,[ 0.12736851]
t require,[ 0.12736851]
aforementioned chat,[ 0.1273844]
aol end,[ 0.1273844]
at aol,[ 0.1273844]
chat room,[ 0.1273844]
room at,[ 0.1273844]
but reca,[ 0.12747079]
help but,[ 0.12747079]
reca,[ 0.12747079]
start wheneer,[ 0.12747079]
wheneer,[ 0.12747079]
wheneer i,[ 0.12747079]
surely you,[ 0.12757963]
judging loebner,[ 0.12758115]
not judging,[ 0.12758115]
prize co,[ 0.12758115]
understand that,[ 0.12760422]
computer hacking,[ 0.12763983]
criminology,[ 0.12763983]
criminology its,[ 0.12763983]
hacking end,[ 0.12763983]
in criminology,[ 0.12763983]
phd is,[ 0.12763983]
start phd,[ 0.12763983]
on it,[ 0.12764119]
edentist,[ 0.12764882]
edentist s,[ 0.12764882]
th edentist,[ 0.12764882]
get it,[ 0.12774314]
famous end,[ 0.12774497]
s famous,[ 0.12774497]
kubrick,[ 0.12775005]
and politicians,[ 0.12775549]
dislike politics,[ 0.12775549]
politics and,[ 0.12775549]
people think,[ 0.12777533]
doubt end,[ 0.12778035]
yeah no,[ 0.12778035]
called stuff,[ 0.12781229]
for men,[ 0.12781229]
magazine called,[ 0.12781229]
mostly for,[ 0.12781229]
s mostly,[ 0.12781229]
stuff it,[ 0.12781229]
this magazine,[ 0.12781229]
a stilted,[ 0.12784948]
an odd,[ 0.12784948]
experience like,[ 0.12784948]
odd experience,[ 0.12784948]
stilted,[ 0.12784948]
stilted im,[ 0.12784948]
that the,[ 0.1279174]
king end,[ 0.12796574]
that burger,[ 0.12796574]
cover stories,[ 0.12808283]
in or,[ 0.12808283]
only cover,[ 0.12808283]
stories you,[ 0.12808283]
you only,[ 0.12808283]
be up,[ 0.12809389]
blood,[ 0.12810721]
reserch,[ 0.12812283]
reserch end,[ 0.12812283]
study reserch,[ 0.12812283]
teach study,[ 0.12812283]
handle the,[ 0.12822558]
press end,[ 0.12822558]
the press,[ 0.12822558]
academic,[ 0.12825203]
academic end,[ 0.12825203]
non academic,[ 0.12825203]
hello end,[ 0.12827145]
a decisive,[ 0.12827347]
any way,[ 0.12827347]
but alr,[ 0.12827347]
decisive,[ 0.12827347]
decisive test,[ 0.12827347]
in any,[ 0.12827347]
way but,[ 0.12827347]
few notches,[ 0.12833838]
intellect just,[ 0.12833838]
just lost,[ 0.12833838]
my intellect,[ 0.12833838]
notches,[ 0.12833838]
notches end,[ 0.12833838]
books in,[ 0.12837176]
comics books,[ 0.12837176]
particular end,[ 0.12837176]
yes comics,[ 0.12837176]
fix,[ 0.12839374]
fix more,[ 0.12839374]
more old,[ 0.12839374]
roofs end,[ 0.12839374]
start fix,[ 0.12839374]
tin roofs,[ 0.12839374]
a professor,[ 0.12840133]
culture,[ 0.12841515]
s it,[ 0.12858404]
hosts,[ 0.12860085]
hosts end,[ 0.12860085]
the hosts,[ 0.12860085]
often and,[ 0.12860876]
another fish,[ 0.12862738]
caught another,[ 0.12862738]
fish i,[ 0.12862738]
jimmy,[ 0.12862738]
jimmy caught,[ 0.12862738]
love those,[ 0.12862738]
start jimmy,[ 0.12862738]
he it,[ 0.12869566]
also mispelled,[ 0.12871278]
mispelled,[ 0.12871278]
mispelled end,[ 0.12871278]
start whhich,[ 0.12871278]
whhich,[ 0.12871278]
whhich is,[ 0.12871278]
a holiday,[ 0.12874806]
am happy,[ 0.12874806]
happy for,[ 0.12874806]
holiday end,[ 0.12874806]
you was,[ 0.12874806]
regular basis,[ 0.12874963]
what you,[ 0.12886051]
exactly how,[ 0.12886089]
figuring,[ 0.12886089]
figuring out,[ 0.12886089]
how m,[ 0.12886089]
is figuring,[ 0.12886089]
out exactly,[ 0.12886089]
part is,[ 0.12886089]
the tricky,[ 0.12886089]
being squashe,[ 0.12891355]
cool if,[ 0.12891355]
danger,[ 0.12891355]
danger of,[ 0.12891355]
squashe,[ 0.12891355]
the danger,[ 0.12891355]
you away,[ 0.12891355]
nice me,[ 0.1289423]
levy after,[ 0.12910185]
humanity,[ 0.12912228]
and middle,[ 0.12913753]
for high,[ 0.12913753]
middle school,[ 0.12913753]
spanish for,[ 0.12913753]
be honest,[ 0.12924706]
like basketball,[ 0.1292768]
considered,[ 0.12928419]
which one,[ 0.12932308]
such,[ 0.129331]
by now,[ 0.12934609]
know by,[ 0.12934609]
seeing,[ 0.12938442]
adult so,[ 0.12943604]
did gr,[ 0.12943604]
i moved,[ 0.12943604]
moved here,[ 0.12943604]
young adult,[ 0.12943604]
already taken,[ 0.1294452]
m already,[ 0.1294452]
different things,[ 0.12945133]
happy means,[ 0.12945133]
means different,[ 0.12945133]
that happy,[ 0.12945133]
bombay,[ 0.12946035]
bombay end,[ 0.12946035]
from bombay,[ 0.12946035]
lived away,[ 0.12946035]
33,[ 0.12950697]
33 i,[ 0.12950697]
a daughter,[ 0.12950697]
am 33,[ 0.12950697]
daughter who,[ 0.12950697]
newcastle and,[ 0.12950697]
t catch,[ 0.12956662]
be platonic,[ 0.12970104]
platonic,[ 0.12970104]
platonic end,[ 0.12970104]
promised,[ 0.12970104]
promised it,[ 0.12970104]
you promised,[ 0.12970104]
one computer,[ 0.12972138]
to only,[ 0.12972138]
seeing anyway,[ 0.12977453]
start worth,[ 0.12977453]
worth seeing,[ 0.12977453]
exactly,[ 0.12980937]
and other,[ 0.12983737]
mixed with,[ 0.12983737]
nutrients,[ 0.12983737]
nutrients end,[ 0.12983737]
oatmeal,[ 0.12983737]
oatmeal and,[ 0.12983737]
other nutrients,[ 0.12983737]
start mixed,[ 0.12983737]
with oatmeal,[ 0.12983737]
start doing,[ 0.12994947]
wonder how,[ 0.12998417]
start wel,[ 0.1299883]
asking whether,[ 0.13001713]
had plans,[ 0.13001713]
just asking,[ 0.13001713]
plans to,[ 0.13001713]
he couldn,[ 0.13002813]
means he,[ 0.13002813]
smething,[ 0.13007651]
smething like,[ 0.13007651]
week smething,[ 0.13007651]
appealing,[ 0.13008739]
appealing there,[ 0.13008739]
comic,[ 0.13008739]
comic i,[ 0.13008739]
one comic,[ 0.13008739]
pretty appealing,[ 0.13008739]
especially on,[ 0.13019417]
start especially,[ 0.13019417]
the wii,[ 0.13019417]
wii,[ 0.13019417]
wii end,[ 0.13019417]
start only,[ 0.1301942]
hardly swimming,[ 0.13022513]
is hardly,[ 0.13022513]
on water,[ 0.13022513]
start walking,[ 0.13022513]
walking on,[ 0.13022513]
water is,[ 0.13022513]
correctly identified,[ 0.13024441]
every one,[ 0.13024441]
identified,[ 0.13024441]
identified every,[ 0.13024441]
ve correctly,[ 0.13024441]
actuaslly,[ 0.13028066]
actuaslly it,[ 0.13028066]
feels much,[ 0.13028066]
morning actuaslly,[ 0.13028066]
s morning,[ 0.13028066]
all three,[ 0.13028518]
or all,[ 0.13028518]
or researching,[ 0.13028518]
researching or,[ 0.13028518]
studying or,[ 0.13028518]
teraching,[ 0.13028518]
teraching studying,[ 0.13028518]
you teraching,[ 0.13028518]
to london,[ 0.1303102]
media,[ 0.13032945]
a pain,[ 0.1303526]
and stickshifts,[ 0.1303526]
car got,[ 0.1303526]
got stolen,[ 0.1303526]
pain,[ 0.1303526]
pain end,[ 0.1303526]
stickshifts,[ 0.1303526]
stickshifts are,[ 0.1303526]
stolen,[ 0.1303526]
stolen and,[ 0.1303526]
be disappointing,[ 0.13051995]
computers must,[ 0.13051995]
disappointing,[ 0.13051995]
disappointing end,[ 0.13051995]
anthem,[ 0.13055905]
anthem end,[ 0.13055905]
national anthem,[ 0.13055905]
new national,[ 0.13055905]
clothes su,[ 0.13059336]
lilac,[ 0.13059336]
lilac clothes,[ 0.13059336]
not wrong,[ 0.13059336]
of lilac,[ 0.13059336]
she wears,[ 0.13059336]
su,[ 0.13059336]
wears,[ 0.13059336]
wears a,[ 0.13059336]
wrong she,[ 0.13059336]
defining,[ 0.13064476]
defining wha,[ 0.13064476]
excited that,[ 0.13064476]
expectation,[ 0.13064476]
expectation of,[ 0.13064476]
m excited,[ 0.13064476]
of defining,[ 0.13064476]
the expectation,[ 0.13064476]
so because,[ 0.13070062]
a comabination,[ 0.13076185]
comabination,[ 0.13076185]
comabination of,[ 0.13076185]
im involved,[ 0.13076185]
now im,[ 0.13076185]
few weeks,[ 0.13077635]
boring not,[ 0.13082856]
connecting,[ 0.13082856]
connecting end,[ 0.13082856]
not connecting,[ 0.13082856]
a completely,[ 0.13096378]
completely different,[ 0.13096378]
different perspe,[ 0.13096378]
given me,[ 0.13096378]
perspe,[ 0.13096378]
s given,[ 0.13096378]
question though,[ 0.13098371]
back what,[ 0.13098662]
open uni,[ 0.13098662]
bit sleepy,[ 0.13102978]
sleepy though,[ 0.13102978]
that much,[ 0.13104516]
are ugly,[ 0.13107789]
ugly end,[ 0.13107789]
many times,[ 0.13109951]
park yes,[ 0.13109951]
to bletchley,[ 0.13109951]
yes many,[ 0.13109951]
have heard,[ 0.13119782]
a seaport,[ 0.13124623]
hamburg is,[ 0.13124623]
seaport,[ 0.13124623]
seaport isn,[ 0.13124623]
start hamburg,[ 0.13124623]
football play,[ 0.13126215]
are too,[ 0.13127198]
full word,[ 0.13127198]
ou tthe,[ 0.13127198]
too cool,[ 0.13127198]
tthe,[ 0.13127198]
tthe full,[ 0.13127198]
write ou,[ 0.13127198]
not offended,[ 0.13128165]
offended,[ 0.13128165]
were growing,[ 0.13130596]
bvery,[ 0.13140548]
bvery clever,[ 0.13140548]
was bvery,[ 0.13140548]
bork,[ 0.1314078]
bork nig,[ 0.1314078]
burk,[ 0.1314078]
burk end,[ 0.1314078]
flurdy,[ 0.1314078]
flurdy bork,[ 0.1314078]
nig,[ 0.1314078]
nig burk,[ 0.1314078]
start flurdy,[ 0.1314078]
re running,[ 0.13142034]
do you,[ 0.13149253]
brought,[ 0.13151599]
i brought,[ 0.13151599]
says end,[ 0.13158215]
some of,[ 0.131589]
any contact,[ 0.13159345]
biological,[ 0.13159345]
biological father,[ 0.13159345]
contact,[ 0.13159345]
contact with,[ 0.13159345]
my biological,[ 0.13159345]
asked,[ 0.13160303]
because we,[ 0.13161975]
currently yes,[ 0.13161975]
have less,[ 0.13161975]
minute to,[ 0.13161975]
spea,[ 0.13161975]
start currently,[ 0.13161975]
to spea,[ 0.13161975]
yes because,[ 0.13161975]
than we,[ 0.13164559]
a frame,[ 0.13175678]
again that,[ 0.13175678]
frame,[ 0.13175678]
frame of,[ 0.13175678]
of reference,[ 0.13175678]
reference statement,[ 0.13175678]
for it,[ 0.13181086]
hm if,[ 0.13185145]
re so,[ 0.13185145]
smart can,[ 0.13185145]
so smart,[ 0.13185145]
hang on,[ 0.13187364]
on w,[ 0.13187364]
recall hang,[ 0.13187364]
electronic,[ 0.13190482]
actually that,[ 0.13194015]
all have,[ 0.13194015]
have things,[ 0.13194015]
s scary,[ 0.13194015]
say s,[ 0.13194015]
scary and,[ 0.13194015]
and yet,[ 0.13195025]
this refers,[ 0.13199055]
what this,[ 0.13199055]
and experimenting,[ 0.13199812]
experimenting,[ 0.13199812]
experimenting end,[ 0.13199812]
start writing,[ 0.13199812]
writing and,[ 0.13199812]
everything how,[ 0.1320302]
how often,[ 0.1320302]
often do,[ 0.1320302]
speed isn,[ 0.1320302]
start speed,[ 0.1320302]
visit new,[ 0.1320302]
you visit,[ 0.1320302]
and with,[ 0.13206546]
english sorry,[ 0.13206546]
jokes it,[ 0.13206546]
sorry and,[ 0.13206546]
tran,[ 0.13206546]
with jokes,[ 0.13206546]
you tran,[ 0.13206546]
indian,[ 0.13209317]
was small,[ 0.13212505]
are fantastic,[ 0.13213855]
fantastic end,[ 0.13213855]
guides,[ 0.13213855]
guides here,[ 0.13213855]
the tour,[ 0.13213855]
tour guides,[ 0.13213855]
i traveled,[ 0.13214699]
traveled by,[ 0.13214699]
is talking,[ 0.13216588]
hard one,[ 0.13217831]
kinda like,[ 0.13223687]
phones,[ 0.13223687]
phones though,[ 0.13223687]
start kinda,[ 0.13223687]
video phones,[ 0.13223687]
doing,[ 0.13230736]
alibi,[ 0.1323086]
alibi i,[ 0.1323086]
always birthday,[ 0.1323086]
birthday parties,[ 0.1323086]
but t,[ 0.1323086]
i spretty,[ 0.1323086]
parties but,[ 0.1323086]
spretty,[ 0.1323086]
spretty bad,[ 0.1323086]
start alibi,[ 0.1323086]
think for,[ 0.13232119]
guess i,[ 0.13237316]
a clever,[ 0.13237352]
clever question,[ 0.13237352]
grown,[ 0.13239856]
grown up,[ 0.13239856]
ve grown,[ 0.13239856]
in support,[ 0.13241883]
support mostly,[ 0.13241883]
works,[ 0.13249306]
honestly not,[ 0.13251996]
human at,[ 0.13251996]
not convinced,[ 0.13251996]
this po,[ 0.13251996]
you honestly,[ 0.13251996]
a stones,[ 0.13258291]
dont mean,[ 0.13258291]
offend,[ 0.13258291]
offend if,[ 0.13258291]
to offend,[ 0.13258291]
a difficult,[ 0.13259876]
challenge,[ 0.13259876]
challenge end,[ 0.13259876]
difficult challenge,[ 0.13259876]
it can,[ 0.13259876]
or human,[ 0.13260361]
the troublesome,[ 0.13265455]
troublesome ones,[ 0.13265455]
different people,[ 0.13267592]
fun meeting,[ 0.13267592]
its quite,[ 0.13267592]
meeting lots,[ 0.13267592]
of different,[ 0.13267592]
people an,[ 0.13267592]
s these,[ 0.13271902]
back from,[ 0.13275535]
cape,[ 0.13275535]
cape may,[ 0.13275535]
from cape,[ 0.13275535]
got back,[ 0.13275535]
j end,[ 0.13275535]
may n,[ 0.13275535]
n j,[ 0.13275535]
almost anywher,[ 0.13276908]
can feel,[ 0.13276908]
home almost,[ 0.13276908]
not people,[ 0.13276908]
there not,[ 0.13276908]
who can,[ 0.13276908]
i wanted,[ 0.13278601]
all weekend,[ 0.13282181]
busy all,[ 0.13282181]
fixing,[ 0.13282181]
fixing roofs,[ 0.13282181]
was busy,[ 0.13282181]
weekend,[ 0.13282181]
weekend fixing,[ 0.13282181]
have two,[ 0.1328555]
from london,[ 0.1328937]
classic cloning,[ 0.13296719]
cloning,[ 0.13296719]
cloning himself,[ 0.13296719]
himself end,[ 0.13296719]
start classic,[ 0.13296719]
novel,[ 0.13305607]
though yes,[ 0.13305745]
leaving office,[ 0.13309658]
s leaving,[ 0.13309658]
any beer,[ 0.13311899]
do all,[ 0.13312257]
kids do,[ 0.13313851]
known,[ 0.13315793]
5 best,[ 0.13323577]
best handhelf,[ 0.13323577]
by psion,[ 0.13323577]
computer ever,[ 0.13323577]
ev,[ 0.13323577]
ever ev,[ 0.13323577]
handhelf,[ 0.13323577]
handhelf computer,[ 0.13323577]
have by,[ 0.13323577]
psion,[ 0.13323577]
psion 5,[ 0.13323577]
still have,[ 0.13323577]
a sunday,[ 0.13338502]
alright thanks,[ 0.13338502]
sunday thing,[ 0.13338502]
thanks a,[ 0.13338502]
tired but,[ 0.13338502]
a common,[ 0.13340588]
common reference,[ 0.13340588]
opinion is,[ 0.13340588]
reference end,[ 0.13340588]
computer literate,[ 0.13341067]
especially computer,[ 0.13341067]
literate,[ 0.13341067]
literate i,[ 0.13341067]
m writin,[ 0.13341067]
writin,[ 0.13341067]
goal after,[ 0.13343496]
only worthwhile,[ 0.13343496]
worthwhile,[ 0.13343496]
worthwhile goal,[ 0.13343496]
narrow it,[ 0.13343502]
to narrow,[ 0.13343502]
do eat,[ 0.13347736]
eat a,[ 0.13347736]
of noodles,[ 0.13347736]
hungarian end,[ 0.13348336]
in hungarian,[ 0.13348336]
start viszlat,[ 0.13348336]
viszlat,[ 0.13348336]
viszlat in,[ 0.13348336]
tennis,[ 0.13350224]
pleasure,[ 0.13367886]
family end,[ 0.13396161]
my parents,[ 0.1339765]
a kind,[ 0.13401936]
culture end,[ 0.13401936]
fame,[ 0.13401936]
fame is,[ 0.13401936]
of worship,[ 0.13401936]
start fame,[ 0.13401936]
worship,[ 0.13401936]
worship in,[ 0.13401936]
ever seen,[ 0.13409467]
admire,[ 0.13409824]
admire any,[ 0.13409824]
do admire,[ 0.13409824]
early i,[ 0.13409824]
i dropped,[ 0.13409824]
must say,[ 0.13409824]
out rather,[ 0.13409824]
rather early,[ 0.13409824]
does look,[ 0.13414348]
good though,[ 0.13414348]
look good,[ 0.13414348]
she does,[ 0.13414348]
really hard,[ 0.13415077]
how boring,[ 0.13429124]
by sharks,[ 0.13429998]
eaten by,[ 0.13429998]
sharks a,[ 0.13429998]
start turtles,[ 0.13429998]
turtles,[ 0.13429998]
turtles get,[ 0.13429998]
doing or,[ 0.1343889]
or watching,[ 0.1343889]
see when,[ 0.13443753]
a bottle,[ 0.13447201]
beer in,[ 0.13447201]
bottle,[ 0.13447201]
bottle brilliant,[ 0.13447201]
start beer,[ 0.13447201]
a bankier,[ 0.13448846]
bankier,[ 0.13448846]
bankier give,[ 0.13448846]
some money,[ 0.13448846]
obama,[ 0.13452171]
obama end,[ 0.13452171]
actor by,[ 0.13455837]
by passion,[ 0.13455837]
have several,[ 0.13455837]
occupations,[ 0.13455837]
occupations i,[ 0.13455837]
passion nee,[ 0.13455837]
several occupations,[ 0.13455837]
fre,[ 0.13468751]
bking could,[ 0.13470972]
lie this,[ 0.13475706]
nice of,[ 0.13475706]
coast,[ 0.13480241]
coast of,[ 0.13480241]
of wa,[ 0.13480241]
start west,[ 0.13480241]
wa end,[ 0.13480241]
west coast,[ 0.13480241]
foggiest about,[ 0.13483569]
please i,[ 0.13483569]
computer stop,[ 0.13486913]
downloading,[ 0.13486913]
downloading end,[ 0.13486913]
stop all,[ 0.13486913]
the downloading,[ 0.13486913]
him already,[ 0.13487881]
just give,[ 0.13487881]
caste,[ 0.13491658]
country what,[ 0.13491658]
from your,[ 0.13491658]
it rude,[ 0.13491658]
person from,[ 0.13491658]
what caste,[ 0.13491658]
your country,[ 0.13491658]
innuendo,[ 0.13501156]
innuendo end,[ 0.13501156]
of innuendo,[ 0.13501156]
that some,[ 0.13501156]
cant i,[ 0.1351838]
force myself,[ 0.1351838]
i cant,[ 0.1351838]
i w,[ 0.1351838]
myself now,[ 0.1351838]
now if,[ 0.1351838]
wont force,[ 0.1351838]
celebrity polish,[ 0.13523617]
concentration,[ 0.13523617]
of concentration,[ 0.13523617]
polish survivor,[ 0.13523617]
survivor,[ 0.13523617]
survivor of,[ 0.13523617]
who said,[ 0.13528196]
crisis time,[ 0.13528692]
identity,[ 0.13528692]
identity crisis,[ 0.13528692]
start identity,[ 0.13528692]
time well,[ 0.13528692]
what goes,[ 0.13528692]
of his,[ 0.13533481]
five years,[ 0.13534076]
love that,[ 0.13536671]
like your,[ 0.13540403]
being myself,[ 0.1354789]
really just,[ 0.1354789]
jesus of,[ 0.13549385]
m referring,[ 0.13549385]
nazereth,[ 0.13549385]
nazereth end,[ 0.13549385]
of nazereth,[ 0.13549385]
to jesus,[ 0.13549385]
a pope,[ 0.13550078]
a rapper,[ 0.13550078]
knew a,[ 0.13550078]
never knew,[ 0.13550078]
of pope,[ 0.13550078]
pius,[ 0.13550078]
pius is,[ 0.13550078]
pope p,[ 0.13550078]
pope pius,[ 0.13550078]
rapper,[ 0.13550078]
rapper i,[ 0.13550078]
20,[ 0.13558049]
20 but,[ 0.13558049]
20s end,[ 0.13558049]
but 20s,[ 0.13558049]
not 20,[ 0.13558049]
play a,[ 0.13560224]
dead is,[ 0.13562169]
is th,[ 0.13562169]
living dead,[ 0.13562169]
night of,[ 0.13562169]
start night,[ 0.13562169]
the living,[ 0.13562169]
never found,[ 0.13568365]
police never,[ 0.13568365]
check end,[ 0.13572099]
helpless,[ 0.13572099]
helpless without,[ 0.13572099]
m helpless,[ 0.13572099]
spell check,[ 0.13572099]
without spell,[ 0.13572099]
the street,[ 0.13576605]
abouit,[ 0.13582791]
abouit yourself,[ 0.13582791]
can yountell,[ 0.13582791]
me abouit,[ 0.13582791]
yountell,[ 0.13582791]
yountell me,[ 0.13582791]
a middle,[ 0.13582924]
middle name,[ 0.13582924]
a choice,[ 0.1358459]
days i,[ 0.1358459]
recently,[ 0.13595554]
be popular,[ 0.13601483]
colleagues,[ 0.13601483]
popular with,[ 0.13601483]
start trivial,[ 0.13601483]
trivial,[ 0.13601483]
trivial that,[ 0.13601483]
your colleagues,[ 0.13601483]
essence,[ 0.13612683]
essence of,[ 0.13612683]
eternal essence,[ 0.13612683]
internal,[ 0.13612683]
internal eternal,[ 0.13612683]
of self,[ 0.13612683]
self not,[ 0.13612683]
the alcohol,[ 0.13612683]
the internal,[ 0.13612683]
one or,[ 0.13616308]
nonfiction,[ 0.13618092]
nonfiction end,[ 0.13618092]
or nonfiction,[ 0.13618092]
start fiction,[ 0.13618092]
a data,[ 0.13620505]
brain uses,[ 0.13620505]
data structure,[ 0.13620505]
structure my,[ 0.13620505]
uses to,[ 0.13620505]
not have,[ 0.13620788]
36,[ 0.13622796]
36 end,[ 0.13622796]
be 36,[ 0.13622796]
it feel,[ 0.13622796]
girsl,[ 0.13622926]
girsl end,[ 0.13622926]
mean girsl,[ 0.13622926]
well yeah,[ 0.13643394]
i replied,[ 0.13646666]
replied,[ 0.13646666]
replied end,[ 0.13646666]
dump means,[ 0.13648311]
means wet,[ 0.13648311]
start dump,[ 0.13648311]
wet i,[ 0.13648311]
just two,[ 0.13649392]
nope just,[ 0.13649392]
in london,[ 0.13649879]
an icon,[ 0.13651791]
icon,[ 0.13651791]
icon end,[ 0.13651791]
johhny,[ 0.13651791]
johhny number,[ 0.13651791]
start johhny,[ 0.13651791]
be annoying,[ 0.13663011]
8 and,[ 0.1366314]
already had,[ 0.1366314]
and already,[ 0.1366314]
gosh you,[ 0.1366314]
just 8,[ 0.1366314]
my gosh,[ 0.1366314]
that makes,[ 0.13668082]
from there,[ 0.13669159]
walked from,[ 0.13669159]
me if,[ 0.13671861]
immediately,[ 0.13674385]
immediately that,[ 0.13674385]
know immediately,[ 0.13674385]
ll know,[ 0.13674385]
in college,[ 0.13690782]
individual,[ 0.13692794]
individual investor,[ 0.13692794]
investor,[ 0.13692794]
investor end,[ 0.13692794]
the individual,[ 0.13692794]
in jesus,[ 0.13697464]
a leader,[ 0.13698918]
arc but,[ 0.13698918]
bit like,[ 0.13698918]
leader,[ 0.13698918]
leader of,[ 0.13698918]
like joan,[ 0.13698918]
men en,[ 0.13698918]
went,[ 0.13700751]
have noticed,[ 0.13702339]
mught,[ 0.13702339]
mught have,[ 0.13702339]
noticed,[ 0.13702339]
noticed already,[ 0.13702339]
you mught,[ 0.13702339]
polite end,[ 0.13702394]
very polite,[ 0.13702394]
just merrily,[ 0.13702445]
merrily,[ 0.13702445]
merrily roll,[ 0.13702445]
no we,[ 0.13702445]
roll,[ 0.13702445]
roll along,[ 0.13702445]
refer,[ 0.13704918]
refer to,[ 0.13704918]
more,[ 0.13705674]
with the,[ 0.13710921]
were a,[ 0.13719172]
american democratic,[ 0.13722073]
democratic,[ 0.13722073]
democratic electronic,[ 0.13722073]
music that,[ 0.13722073]
of free,[ 0.13722073]
start american,[ 0.13722073]
a story,[ 0.13725298]
t follow,[ 0.1372587]
bush deserves,[ 0.13733519]
deserves the,[ 0.13733519]
literature prize,[ 0.13733519]
start bush,[ 0.13733519]
the literature,[ 0.13733519]
kind,[ 0.13734145]
another john,[ 0.13736939]
john have,[ 0.13736939]
nice d,[ 0.13736939]
you another,[ 0.13736939]
a baby,[ 0.13737514]
and his,[ 0.13737514]
baby girl,[ 0.13737514]
brother and,[ 0.13737514]
february,[ 0.13737514]
february and,[ 0.13737514]
girl in,[ 0.13737514]
his wife,[ 0.13737514]
in february,[ 0.13737514]
wife had,[ 0.13737514]
are receptive,[ 0.13737961]
describe unless,[ 0.13737961]
have neve,[ 0.13737961]
receptive,[ 0.13737961]
receptive to,[ 0.13737961]
start describe,[ 0.13737961]
weather end,[ 0.13738046]
insterspeech,[ 0.13749458]
insterspeech hasn,[ 0.13749458]
start insterspeech,[ 0.13749458]
started yet,[ 0.13749458]
t started,[ 0.13749458]
define masochist,[ 0.13750278]
masochist,[ 0.13750278]
masochist end,[ 0.13750278]
it makes,[ 0.13755826]
2 end,[ 0.13756885]
judge 2,[ 0.13756885]
authorized,[ 0.1375988]
authorized to,[ 0.1375988]
drug,[ 0.1375988]
drug is,[ 0.1375988]
for ms,[ 0.1375988]
is for,[ 0.1375988]
ms i,[ 0.1375988]
not authorized,[ 0.1375988]
provide the,[ 0.1375988]
the drug,[ 0.1375988]
tosca live,[ 0.1376774]
have morals,[ 0.13768633]
know in,[ 0.13768633]
morals,[ 0.13768633]
morals i,[ 0.13768633]
what but,[ 0.13768633]
york what,[ 0.13768633]
about incas,[ 0.13769882]
ahve,[ 0.13769882]
ahve tried,[ 0.13769882]
i ahve,[ 0.13769882]
incas a,[ 0.13769882]
out about,[ 0.13769882]
cou,[ 0.13783259]
i cou,[ 0.13783259]
shopping,[ 0.13785735]
spoke,[ 0.13793521]
fantastic movie,[ 0.13802114]
start fantastic,[ 0.13802114]
evil,[ 0.1380239]
hwat,[ 0.13803589]
hwat you,[ 0.13803589]
pulling,[ 0.13803589]
pulling rank,[ 0.13803589]
rank toget,[ 0.13803589]
start pulling,[ 0.13803589]
the wa,[ 0.13803589]
toget,[ 0.13803589]
toget hwat,[ 0.13803589]
want isn,[ 0.13803589]
much more,[ 0.13807868]
computing thank,[ 0.13813598]
this morning,[ 0.13820394]
and whoa,[ 0.13822972]
re you,[ 0.13822972]
whoa re,[ 0.13822972]
who were,[ 0.13835916]
my girlfriend,[ 0.13843281]
accessible,[ 0.13851528]
accessible if,[ 0.13851528]
be accessible,[ 0.13851528]
design would,[ 0.13851528]
the design,[ 0.13851528]
they can,[ 0.13869614]
actresses,[ 0.13874957]
actresses for,[ 0.13874957]
blank on,[ 0.13874957]
drawing a,[ 0.13874957]
off reason,[ 0.13874957]
on actresses,[ 0.13874957]
some off,[ 0.13874957]
are end,[ 0.1388513]
t ask,[ 0.13888068]
